Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
SBSTC-KOLKATA - JAMURIA - VIA - DURGAPUR - 17:30 - 300,Non AC Seater (2+3),17:30,21:00,03h 30m,150,43 Seats available,"3.8
11",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,Non AC Seater (2+3),18:30,22:00,03h 30m,150,37 Seats available,"3.5
64",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:00,20:00,03h 00m,486,22 Seats available,"4.2
254",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:00,20:45,03h 45m,486,29 Seats available,"4.4
165",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:00,20:00,03h 00m,486,22 Seats available,"3.5
6",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:00,21:00,04h 00m,486,21 Seats available,"5.0
17",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:00,21:00,04h 00m,486,12 Seats available,4.5,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:00,20:45,03h 45m,486,29 Seats available,4.3,Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),17:05,20:40,03h 35m,486,20 Seats available,"3.8
117",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:30,21:30,04h 00m,486,7 Seats available,"4.4
365",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:30,21:30,04h 00m,486,7 Seats available,"4.2
6",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
Greenline,Volvo A/C Seater (2+2),18:05,22:05,04h 00m,486,21 Seats available,"4.7
87",Kolkata to Durgapur (West Bengal),https://www.redbus.in/bus-tickets/kolkata-to-durgapur
SBSTC-KOLKATA - DINANATHPUR - VIA - BURDWAN - 17:30 (BWN - 2952,Non AC Seater (2+3),17:30,19:30,02h 00m,95,48 Seats available,"2.7
23",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - BURDWAN - 18:15 (BWN DEPOT) - 96,Non AC Seater (2+3),18:15,20:15,02h 00m,95,36 Seats available,"3.2
76",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - BURDWAN - A/C - 18:45 (BWN DEPOT) - 97,AC Seater (2+2),18:45,20:45,02h 00m,180,24 Seats available,"3.5
72",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KARUNAMOYEE - BURDWAN - 19:30 (BWN DEPOT) - 120,Non AC Seater (2+3),19:30,21:30,02h 00m,100,1 Seat available,"3.4
117",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
SBSTC-KOLKATA - BURDWAN - 20:00 (BWN DEPOT) - 103,Non AC Seater (2+3),20:00,22:00,02h 00m,95,46 Seats available,"4.1
40",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:00,19:20,02h 20m,429,29 Seats available,"4.5
34",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:00,19:15,02h 15m,429,22 Seats available,"4.8
4",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Express Line (Karunamoyee),Volvo 9600 A/C Seater (2+2),17:00,19:15,02h 15m,429,24 Seats available,4.5,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:00,19:20,02h 20m,429,22 Seats available,4.3,Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),17:05,18:55,01h 50m,429,17 Seats available,"4.1
23",Kolkata to Burdwan,https://www.redbus.in/bus-tickets/kolkata-to-burdwan
