Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_name,Route_link
APSRTC - 2695,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,19:30,03h 00m,281,30 Seats available,"3.3
39",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 3406,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45,20:30,03h 45m,281,33 Seats available,"3.8
7",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2891,INDRA(A.C. Seater),17:00,20:00,03h 00m,340,30 Seats available,"3.5
101",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2534,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:15,21:45,04h 30m,281,29 Seats available,"3.9
7",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 23527,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:45,22:15,04h 30m,281,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 3332,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:00,22:00,04h 00m,281,34 Seats available,"2.7
5",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 27083,METRO LUXURY A/C,18:00,20:50,02h 50m,383,12 Seats available,"4.1
85",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2857,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",18:15,23:30,05h 15m,269,35 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2869,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:30,21:30,03h 00m,281,32 Seats available,"4.0
57",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 3324,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,23:00,04h 00m,281,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 24275,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:20,22:50,03h 30m,281,34 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 27133,METRO LUXURY A/C,19:40,22:45,03h 05m,383,25 Seats available,"3.8
67",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 27093,METRO LUXURY A/C,20:20,00:10,03h 50m,383,29 Seats available,"4.4
24",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 2217,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30,00:30,04h 00m,281,34 Seats available,"3.6
7",Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 3104,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:00,02:15,05h 15m,281,29 Seats available,3.8,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
Gaganasri Travels,Non A/C Seater / Sleeper (2+1),23:50,03:30,03h 40m,5000,1 Seat available, ,Kakinada to Visakhapatnam,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
APSRTC - 9011,Express(Non AC Seater),16:30,20:15,03h 45m,186,45 Seats available,"3.9
49",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9888,Express(Non AC Seater),19:00,23:20,04h 20m,186,40 Seats available,"3.5
28",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9003,Express(Non AC Seater),20:00,00:25,04h 25m,186,46 Seats available,"4.5
40",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9041,Express(Non AC Seater),21:00,01:25,04h 25m,220,45 Seats available,"3.9
32",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9061,Express(Non AC Seater),21:45,01:10,03h 25m,186,45 Seats available,"3.9
42",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 5524,Express(Non AC Seater),22:45,02:55,04h 10m,186,46 Seats available,"4.1
39",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 9080,Express(Non AC Seater),23:15,02:40,03h 25m,186,38 Seats available,"4.6
43",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 5528,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:59,05:15,05h 16m,304,28 Seats available,"4.3
25",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
NueGo,A/C Seater (2+2),19:30,00:10,04h 40m,332,31 Seats available,"3.7
36",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
NueGo,Electric A/C Seater (2+2),21:00,01:40,04h 40m,332,42 Seats available,"4.0
32",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),23:21,03:58,04h 37m,300,32 Seats available,4.5,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
NueGo,Electric A/C Seater (2+2),23:30,04:10,04h 40m,332,37 Seats available,"4.0
40",Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
Sai Sindhu Travels,NON A/C Sleeper (2+1),00:59,05:00,04h 01m,490,26 Seats available,3.7,Chittoor (Andhra Pradesh) to Bangalore,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
APSRTC - 4310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:00,22:45,05h 45m,398,18 Seats available,"3.4
15",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 3871,VENNELA (A.C. SLEEPER),17:30,23:25,05h 55m,749,8 Seats available,"3.5
17",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 9020,Express(Non AC Seater),17:30,23:55,06h 25m,294,4 Seats available,"3.4
13",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 4157,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:30,23:45,06h 15m,398,13 Seats available,"3.9
25",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 3873,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),17:30,00:30,07h 00m,680,14 Seats available,"1.7
11",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 4119,INDRA(A.C. Seater),17:45,23:00,05h 15m,506,11 Seats available,"3.1
49",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 4020,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",18:15,23:50,05h 35m,398,1 Seat available,"2.0
29",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 47211,Express(Non AC Seater),18:30,00:50,06h 20m,294,2 Seats available,"3.8
31",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 4610,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:00,01:00,06h 00m,398,2 Seats available,"3.6
21",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 5497,SAPTAGIRI EXPRESS,21:00,03:00,06h 00m,284,3 Seats available,"3.9
56",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 5084,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:10,03:15,06h 05m,398,1 Seat available,"3.4
26",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 5119,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:20,03:30,06h 10m,399,1 Seat available,"3.5
8",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 5469,SAPTAGIRI EXPRESS,21:30,03:30,06h 00m,284,2 Seats available,"3.9
59",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 5672,Express(Non AC Seater),21:30,03:55,06h 25m,314,2 Seats available,"4.4
42",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
APSRTC - 5625,Express(Non AC Seater),22:00,04:00,06h 00m,294,1 Seat available,"4.0
48",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
Rajesh Transports,NON A/C Sleeper (2+1),15:35,20:10,04h 35m,800,12 Seats available,"4.3
52",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
FRESHBUS,Electric A/C Seater (2+2),15:40,20:50,05h 10m,465,1 Seat available,"4.6
440",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
HYBUS,Bharat Benz A/C Sleeper (2+1),15:40,19:30,03h 50m,585,27 Seats available,"4.8
13",Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
Sri Keerthana Sai Travels,A/C Seater / Sleeper (2+1),16:00,20:15,04h 15m,649,21 Seats available,3.4,Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
